MUNICIPIO,QTD_CVLI
Abaiara,0
Acarape,6
Acaraú,8
Acopiara,14
Aiuaba,1
Alcântaras,0
Altaneira,1
Alto Santo,10
Amontada,10
Antonina do Norte,2
Apuiarés,1
Aquiraz,32
Aracati,11
Aracoiaba,14
Ararendá,0
Araripe,0
Aratuba,3
Arneiróz,1
Assaré,6
Aurora,2
Baixio,0
Banabuiú,15
Barbalha,8
Barreira,6
Barro,1
Barroquinha,2
Baturité,3
Beberibe,8
Bela Cruz,3
Boa Viagem,5
Brejo Santo,5
Camocim,3
Campos Sales,8
Canindé,15
Capistrano,5
Caridade,8
Cariré,2
Caririaçu,3
Cariús,3
Carnaubal,2
Cascavel,24
Catarina,1
Catunda,0
Caucaia,206
Cedro,0
Chaval,0
Choró,5
Chorozinho,25
Coreaú,7
Crateús,5
Crato,19
Croatá,1
Cruz,5
Dep. Irapuan Pinheiro,2
Ererê,1
Eusébio,23
Farias Brito,2
Forquilha,10
Fortaleza,640
Fortim,2
Frecheirinha,1
General Sampaio,3
Graça,1
Granja,4
Granjeiro,1
Groaíras,2
Guaiúba,29
Guaraciaba do Norte,7
Guaramiranga,7
Hidrolândia,1
Horizonte,19
Ibaretama,0
Ibiapina,1
Ibicuitinga,3
Icapuí,4
Icó,5
Iguatu,15
Independência,7
Ipaporanga,1
Ipaumirim,0
Ipu,1
Ipueiras,6
Iracema,0
Irauçuba,3
Itaiçaba,0
Itaitinga,14
Itapajé,4
Itapipoca,21
Itapiúna,4
Itarema,10
Itatira,4
Jaguaretama,2
Jaguaribara,7
Jaguaribe,1
Jaguaruana,4
Jardim,2
Jati,1
Jijoca de Jericoacoara,5
Juazeiro do Norte,68
Jucás,2
Lavras da Mangabeira,1
Limoeiro do Norte,11
Madalena,3
Maracanaú,113
Maranguape,56
Marco,7
Martinópole,1
Massapê,4
Mauriti,9
Meruoca,0
Milagres,5
Milhã,8
Miraíma,1
Missão Velha,8
Mombaça,5
Monsenhor Tabosa,4
Morada Nova,17
Moraújo,0
Morrinhos,0
Mucambo,1
Mulungu,1
Nova Olinda,1
Nova Russas,3
Novo Oriente,5
Ocara,4
Orós,7
Pacajus,27
Pacatuba,31
Pacoti,5
Pacujá,2
Palhano,0
Palmácia,4
Paracuru,12
Paraipaba,3
Parambu,6
Paramoti,3
Pedra Branca,7
Penaforte,2
Pentecoste,4
Pereiro,1
Pindoretama,3
Piquet Carneiro,2
Pires Ferreira,0
Poranga,1
Porteiras,5
Potengi,3
Potiretama,1
Quiterianópolis,4
Quixadá,23
Quixelô,0
Quixeramobim,11
Quixeré,10
Redenção,5
Reriutaba,3
Russas,14
Saboeiro,5
Salitre,3
Santa Quitéria,18
Santana do Acaraú,10
Santana do Cariri,3
São Benedito,8
São Gonçalo do Amarante,22
São João do Jaguaribe,8
São Luís do Curu,2
Senador Pompeu,3
Senador Sá,2
Sobral,58
Solonópole,5
Tabuleiro do Norte,10
Tamboril,3
Tarrafas,2
Tauá,5
Tejuçuoca,0
Tianguá,8
Trairi,29
Tururu,2
Ubajara,4
Umari,0
Umirim,4
Uruburetama,5
Uruoca,2
Varjota,3
Várzea Alegre,2
Viçosa do Ceará,3
